#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ams1|41693,185.1.94.2
ams1|12414,80.249.208.165,185.1.94.11
ams1|8283,80.249.211.161,185.1.94.15
ams1|51088,185.1.32.10,185.1.94.17
ams1|3303,80.249.208.100,185.1.94.19
ams1|30781,80.249.209.239,185.1.94.23
ams1|25596,80.249.208.159,80.249.209.169,185.1.94.26
ams1|64404,185.1.94.27
ams1|60144,185.1.94.32
ams1|36459,80.249.213.114,185.1.94.37
ams1|49544,80.249.208.162,185.1.94.39
ams1|8455,80.249.211.217,185.1.94.31,185.1.95.3
ams1|51430,185.1.95.4
ams1|20847,80.249.208.197,80.249.208.222,185.1.95.15
ams1|24961,80.249.208.219,185.1.95.19
ams1|206313,185.1.95.20
ams1|205593,185.1.95.21
ams1|206479,185.1.95.22
ams1|205591,185.1.95.23
ams1|200358,185.1.95.24
ams1|206499,185.1.95.25
ams1|203125,185.1.95.26
ams1|24875,80.249.208.126,185.1.94.13,185.1.95.30
ams1|50655,185.1.32.7,185.1.95.38
ams1|198508,185.1.95.39
ams1|134512,80.249.212.5,185.1.95.42
ams1|62088,185.1.95.46
ams1|205036,185.1.95.50
ams1|202562,185.1.95.52
ams1|53334,185.1.95.54
ams1|204526,185.1.95.58
ams1|25595,185.1.94.10,185.1.95.59
ams1|34872,185.1.95.61
ams1|49134,185.1.95.62
ams1|202365,185.1.95.67
ams1|39192,185.1.95.68
ams1|137490,185.1.95.69
ams1|200299,185.1.95.70
ams1|200365,185.1.95.71
ams1|203729,185.1.95.76
ams1|197731,80.249.209.2,185.1.95.77
ams1|57782,185.1.95.78
ams1|21100,185.1.95.80
ams1|44592,185.1.95.81
ams1|56510,185.1.95.83
ams1|6233,80.249.210.156,185.1.95.84
ams1|50522,185.1.95.85
ams1|202418,185.1.95.87
ams1|207080,185.1.95.88
ams1|5390,80.249.208.55,80.249.208.70,185.1.95.90
ams1|44222,185.1.95.91
ams1|201811,185.1.95.104
ams1|60474,185.1.95.105
ams1|210283,185.1.95.106
ams1|208364,185.1.95.109
ams1|205927,185.1.95.110
ams1|138211,185.1.95.112
ams1|38965,185.1.32.39,185.1.95.113
ams1|210025,185.1.95.115
ams1|207176,185.1.95.117
ams1|20119,80.249.211.93,185.1.95.118
ams1|35709,80.249.209.54,185.1.95.123
ams1|199524,80.249.210.150,185.1.94.35,185.1.95.125
ams1|49127,185.1.95.132
ams1|41441,185.1.95.100,185.1.95.200
ash1|393752,206.53.137.1,206.53.137.2
ash1|26415,206.53.137.32
ash1|397005,206.53.137.41
ash1|64216,206.53.170.1,206.53.170.2
ash1|35908,206.53.170.10
ash1|14127,206.53.170.20
ash1|47523,206.53.170.24
ash1|36236,206.53.170.28,206.126.236.3
ash1|209453,206.126.236.5
ash1|393950,206.126.236.7
ash1|11404,206.126.236.8
ash1|21808,206.126.236.10
ash1|11114,206.126.236.15
ash1|10310,206.53.170.14,206.126.236.2,206.126.236.16
ash1|6327,206.126.236.20
ash1|15169,206.126.236.21
ash1|2497,206.126.236.23
ash1|11666,206.126.236.24
ash1|6079,206.126.236.25
ash1|13768,206.126.236.30
ash1|36408,206.126.236.31
ash1|26282,206.126.236.39
ash1|26496,206.126.236.43
